          250  ! number of los
mkIIlbsrp 
      3.0000      0.3000      0.0000 ! origin for (p,ksi,zeta)
! los  cam             Rdet(m)     Zdet(m)  fidet(deg)      Rst(m)      Zst(m)   fist(deg)     Rend(m)     Zend(m)  fiend(deg)        p(m)    ksi(deg)   zeta(deg)  etendue(srm2) type 
  111 KB5V07C          3.1713      2.3894      0.0000      3.1838      1.7923      0.0000      3.2456     -1.1539      0.0000      0.2151    271.2020      0.0000   0.716996E-07   2
  112 KB5V07D          3.1663      2.3901      0.0000      3.0953      1.8552      0.0000      2.6327     -1.6309      0.0000     -0.1101    262.4410      0.0000   0.750217E-07   2
  113 KB5V08A          3.1605      2.3909      0.0000      3.0161      1.9121      0.0000      2.1213     -1.0549      0.0000     -0.4500    253.2180      0.0000   0.795187E-07   2
  114 KB5V08B          3.1555      2.3916      0.0000      2.9351      1.9568      0.0000      1.8437     -0.1965      0.0000     -0.8069    243.1210      0.0000   0.792650E-07   2
  115 KB5V08C          3.1504      2.3922      0.0000      2.8449      1.9875      0.0000      1.8278      0.6404      0.0000     -1.1406    232.9480      0.0000   0.791635E-07   2
  116 KB5V08D          3.1454      2.3929      0.0000      2.7264      2.0121      0.0000      1.9421      1.2995      0.0000     -1.4512    222.2610      0.0000   0.802508E-07   2
  117 KB5H01A          5.0301      0.4052      0.0000      3.5537     -0.7886      0.0000      2.3929     -1.7272      0.0000      1.1946    218.9590      0.0000   0.894378E-08   2
  118 KB5H02A          5.0326      0.4025      0.0000      3.6198     -0.6856      0.0000      2.4205     -1.6093      0.0000      1.1591    217.6030      0.0000   0.920503E-08   2
  119 KB5H01B          5.0330      0.4011      0.0000      3.6645     -0.6048      0.0000      2.4024     -1.5325      0.0000      1.1226    216.3170      0.0000   0.937226E-08   2
  120 KB5H02B          5.0355      0.3983      0.0000      3.6985     -0.5363      0.0000      2.4129     -1.4351      0.0000      1.0857    214.9560      0.0000   0.959751E-08   2
  121 KB5H01C          5.0358      0.3969      0.0000      3.7260     -0.4758      0.0000      2.3884     -1.3671      0.0000      1.0482    213.6760      0.0000   0.970187E-08   2
  122 KB5H02C          5.0384      0.3941      0.0000      3.7493     -0.4208      0.0000      2.3041     -1.3344      0.0000      1.0097    212.3000      0.0000   0.984836E-08   2
  123 KB5H01D          5.0387      0.3927      0.0000      3.7675     -0.3720      0.0000      2.2458     -1.2875      0.0000      0.9715    211.0310      0.0000   0.990060E-08   2
  124 KB5H02D          5.0412      0.3899      0.0000      3.7841     -0.3259      0.0000      2.1943     -1.2311      0.0000      0.9318    209.6560      0.0000   0.100017E-07   2
  125 KB5H03A          5.0480      0.3633      0.0000      3.8090     -0.2474      0.0000      2.1298     -1.0753      0.0000      0.8487    206.2420      0.0000   0.217596E-07   2
  126 KB5H03B          5.0497      0.3586      0.0000      3.8427     -0.1170      0.0000      2.0286     -0.8316      0.0000      0.6968    201.5030      0.0000   0.231629E-07   2
  127 KB5H03C          5.0513      0.3538      0.0000      3.8648     -0.0028      0.0000      1.9325     -0.5836      0.0000      0.5389    196.7280      0.0000   0.237982E-07   2
  128 KB5H03D          5.0530      0.3490      0.0000      3.8785      0.0993      0.0000      1.8676     -0.3282      0.0000      0.3790    192.0010      0.0000   0.236387E-07   2
  129 KB5H04A          5.0540      0.3433      0.0000      3.8873      0.2074      0.0000      1.8220     -0.0333      0.0000      0.1947    186.6470      0.0000   0.240313E-07   2
  130 KB5H04B          5.0540      0.3383      0.0000      3.8903      0.2996      0.0000      1.8063      0.2302      0.0000      0.0300    181.9050      0.0000   0.248393E-07   2
  131 KB5H04C          5.0539      0.3332      0.0000      3.8891      0.3913      0.0000      1.8135      0.4950      0.0000     -0.1356    177.1420      0.0000   0.248109E-07   2
  132 KB5H04D          5.0539      0.3281      0.0000      3.8835      0.4840      0.0000      1.8427      0.7559      0.0000     -0.2991    172.4120      0.0000   0.239695E-07   2
  133 KB5H05A          5.0529      0.3227      0.0000      3.8718      0.5897      0.0000      1.8812      1.0398      0.0000     -0.4748    167.2600      0.0000   0.236126E-07   2
  134 KB5H05B          5.0512      0.3179      0.0000      3.8541      0.6950      0.0000      1.9414      1.2977      0.0000     -0.6334    162.5120      0.0000   0.237295E-07   2
  135 KB5H05C          5.0495      0.3131      0.0000      3.8278      0.8125      0.0000      2.0362      1.5449      0.0000     -0.7876    157.7660      0.0000   0.230339E-07   2
  136 KB5H05D          5.0478      0.3083      0.0000      3.7872      0.9494      0.0000      2.1493      1.7824      0.0000     -0.9357    153.0440      0.0000   0.215983E-07   2
  137 KB5H06A          5.0404      0.2801      0.0000      3.7575      1.0320      0.0000      2.2663      1.9060      0.0000     -1.0146    149.6250      0.0000   0.191953E-07   2
  138 KB5H06B          5.0375      0.2759      0.0000      3.7147      1.1353      0.0000      2.4163      1.9787      0.0000     -1.0898    146.9920      0.0000   0.188651E-07   2
  139 KB5H06C          5.0347      0.2717      0.0000      3.6507      1.2648      0.0000      2.6031      2.0164      0.0000     -1.1632    144.3400      0.0000   0.183140E-07   2
  140 KB5H06D          5.0318      0.2676      0.0000      3.6406      1.3661      0.0000      2.8588      1.9835      0.0000     -1.2337    141.7020      0.0000   0.175371E-07   2
  141 VV               2.0100     -0.7869      0.0000      2.0100     -0.7869      0.0000      2.0811     -0.9579      0.0000     -1.3315    292.5827      0.0000    0.00000       0
  142 VV               2.0811     -0.9579      0.0000      2.0811     -0.9579      0.0000      2.1390     -1.0975      0.0000     -1.3303    292.4985      0.0000    0.00000       0
  143 VV               2.1390     -1.0975      0.0000      2.1390     -1.0975      0.0000      2.1996     -1.2439      0.0000     -1.3301    292.4908      0.0000    0.00000       0
  144 VV               2.1996     -1.2439      0.0000      2.1996     -1.2439      0.0000      2.2954     -1.3344      0.0000     -1.6720    316.6348      0.0000    0.00000       0
  145 VV               2.2954     -1.3344      0.0000      2.2954     -1.3344      0.0000      2.3599     -1.3344      0.0000      1.6344      0.0000      0.0000    0.00000       0
  146 VV               2.3599     -1.3344      0.0000      2.3599     -1.3344      0.0000      2.4048     -1.3859      0.0000     -1.5567    311.0967      0.0000    0.00000       0
  147 VV               2.4048     -1.3859      0.0000      2.4048     -1.3859      0.0000      2.4129     -1.4289      0.0000     -0.8972    280.6767      0.0000    0.00000       0
  148 VV               2.4129     -1.4289      0.0000      2.4129     -1.4289      0.0000      2.4126     -1.4745      0.0000     -0.5742    269.5721      0.0000    0.00000       0
  149 VV               2.4126     -1.4745      0.0000      2.4126     -1.4745      0.0000      2.4076     -1.5044      0.0000     -0.2903    260.6183      0.0000    0.00000       0
  150 VV               2.4076     -1.5044      0.0000      2.4076     -1.5044      0.0000      2.3980     -1.5164      0.0000      0.6655    231.3111      0.0000    0.00000       0
  151 VV               2.3980     -1.5164      0.0000      2.3980     -1.5164      0.0000      2.4211     -1.6017      0.0000     -1.0551    285.1243      0.0000    0.00000       0
  152 VV               2.4211     -1.6017      0.0000      2.4211     -1.6017      0.0000      2.4177     -1.6494      0.0000     -0.4450    266.0049      0.0000    0.00000       0
  153 VV               2.4177     -1.6494      0.0000      2.4177     -1.6494      0.0000      2.4057     -1.6897      0.0000     -0.0013    253.4052      0.0000    0.00000       0
  154 VV               2.4057     -1.6897      0.0000      2.4057     -1.6897      0.0000      2.3684     -1.6897      0.0000      1.9897    180.0000      0.0000    0.00000       0
  155 VV               2.3684     -1.6897      0.0000      2.3684     -1.6897      0.0000      2.3150     -1.7387      0.0000      1.0390    222.5391      0.0000    0.00000       0
  156 VV               2.3150     -1.7387      0.0000      2.3150     -1.7387      0.0000      2.3643     -1.7379      0.0000     -2.0276      0.9061      0.0000    0.00000       0
  157 VV               2.3643     -1.7379      0.0000      2.3643     -1.7379      0.0000      2.4367     -1.7108      0.0000     -1.6843     20.5829      0.0000    0.00000       0
  158 VV               2.4367     -1.7108      0.0000      2.4367     -1.7108      0.0000      2.5237     -1.7098      0.0000     -2.0047      0.6056      0.0000    0.00000       0
  159 VV               2.5237     -1.7098      0.0000      2.5237     -1.7098      0.0000      2.5758     -1.6138      0.0000     -0.5394     61.5281      0.0000    0.00000       0
  160 VV               2.5758     -1.6138      0.0000      2.5758     -1.6138      0.0000      2.8142     -1.6857      0.0000     -1.9548    343.2243      0.0000    0.00000       0
  161 VV               2.8142     -1.6857      0.0000      2.8142     -1.6857      0.0000      2.8142     -1.7085      0.0000     -0.1858    270.0000      0.0000    0.00000       0
  162 VV               2.8142     -1.7085      0.0000      2.8142     -1.7085      0.0000      2.8702     -1.7131      0.0000     -2.0169    355.2304      0.0000    0.00000       0
  163 VV               2.8702     -1.7131      0.0000      2.8702     -1.7131      0.0000      2.9465     -1.7448      0.0000     -1.9093    337.4799      0.0000    0.00000       0
  164 VV               2.9465     -1.7448      0.0000      2.9465     -1.7448      0.0000      2.9870     -1.7460      0.0000     -2.0455    358.3174      0.0000    0.00000       0
  165 VV               2.9870     -1.7460      0.0000      2.9870     -1.7460      0.0000      2.9350     -1.6823      0.0000      1.3040    129.2285      0.0000    0.00000       0
  166 VV               2.9350     -1.6823      0.0000      2.9350     -1.6823      0.0000      2.8977     -1.6823      0.0000      1.9823    180.0000      0.0000    0.00000       0
